Chinese Text,English Text,Label
这件杏色的外套看起来很暖和。,This apricot coat looks very warm.,1
这件银灰色的外套看起来很暖和。,This silver grey coat looks very warm.,0
这件奶油色的外套看起来很暖和。,This cream coat looks very warm.,1
这件烟灰色的外套看起来很暖和。,This smoky grey coat looks very warm.,0
我喜欢那件米色的T恤的款式。,I like the style of that beige T-shirt.,1
我喜欢那件灰色的T恤的款式。,I like the style of that grey T-shirt.,0
我喜欢那件米黄色的T恤的款式。,I like the style of that beige T-shirt.,1
我喜欢那件浅灰色的T恤的款式。,I like the style of that light grey T-shirt.,0
我喜欢那件浅米色的T恤的款式。,I like the style of that light beige T-shirt.,1
我喜欢那件深灰色的T恤的款式。,I like the style of that dark grey T-shirt.,0
我喜欢那件杏色的T恤的款式。,I like the style of that apricot T-shirt.,1
我喜欢那件银灰色的T恤的款式。,I like the style of that silver grey T-shirt.,0
我喜欢那件奶油色的T恤的款式。,I like the style of that cream T-shirt.,1
我喜欢那件烟灰色的T恤的款式。,I like the style of that smoky grey T-shirt.,0
服务员穿着米色的马甲。,The waiter is wearing a beige vest.,1
服务员穿着灰色的马甲。,The waiter is wearing a grey vest.,0
服务员穿着米黄色的马甲。,The waiter is wearing a beige vest.,1
服务员穿着浅灰色的马甲。,The waiter is wearing a light grey vest.,0
服务员穿着浅米色的马甲。,The waiter is wearing a light beige vest.,1
服务员穿着深灰色的马甲。,The waiter is wearing a dark grey vest.,0
服务员穿着杏色的马甲。,The waiter is wearing an apricot vest.,1
服务员穿着银灰色的马甲。,The waiter is wearing a silver grey vest.,0
服务员穿着奶油色的马甲。,The waiter is wearing a cream vest.,1
服务员穿着烟灰色的马甲。,The waiter is wearing a smoky grey vest.,0
模特展示了一件米色的风衣。,The model displayed a beige trench coat.,1
模特展示了一件灰色的风衣。,The model displayed a grey trench coat.,0
模特展示了一件米黄色的风衣。,The model displayed a beige trench coat.,1
模特展示了一件浅灰色的风衣。,The model displayed a light grey trench coat.,0
模特展示了一件浅米色的风衣。,The model displayed a light beige trench coat.,1
模特展示了一件深灰色的风衣。,The model displayed a dark grey trench coat.,0
模特展示了一件杏色的风衣。,The model displayed an apricot trench coat.,1
模特展示了一件银灰色的风衣。,The model displayed a silver grey trench coat.,0
模特展示了一件奶油色的风衣。,The model displayed a cream trench coat.,1
模特展示了一件烟灰色的风衣。,The model displayed a smoky grey trench coat.,0
这件米色的开衫是羊毛做的。,This beige cardigan is made of wool.,1
这件灰色的开衫是羊毛做的。,This grey cardigan is made of wool.,0
这件米黄色的开衫是羊毛做的。,This beige cardigan is made of wool.,1
这件浅灰色的开衫是羊毛做的。,This light grey cardigan is made of wool.,0
这件浅米色的开衫是羊毛做的。,This light beige cardigan is made of wool.,1
这件深灰色的开衫是羊毛做的。,This dark grey cardigan is made of wool.,0
这件杏色的开衫是羊毛做的。,This apricot cardigan is made of wool.,1
这件银灰色的开衫是羊毛做的。,This silver grey cardigan is made of wool.,0
这件奶油色的开衫是羊毛做的。,This cream cardigan is made of wool.,1
这件烟灰色的开衫是羊毛做的。,This smoky grey cardigan is made of wool.,0
他把米色的夹克脱了下来。,He took off the beige jacket.,1
他把灰色的夹克脱了下来。,He took off the grey jacket.,0
他把米黄色的夹克脱了下来。,He took off the beige jacket.,1
他把浅灰色的夹克脱了下来。,He took off the light grey jacket.,0
他把浅米色的夹克脱了下来。,He took off the light beige jacket.,1
他把深灰色的夹克脱了下来。,He took off the dark grey jacket.,0
他把杏色的夹克脱了下来。,He took off the apricot jacket.,1
他把银灰色的夹克脱了下来。,He took off the silver grey jacket.,0
他把奶油色的夹克脱了下来。,He took off the cream jacket.,1
他把烟灰色的夹克脱了下来。,He took off the smoky grey jacket.,0
这件米色的西装有点紧。,This beige suit is a bit tight.,1
这件灰色的西装有点紧。,This grey suit is a bit tight.,0
这件米黄色的西装有点紧。,This beige suit is a bit tight.,1
这件浅灰色的西装有点紧。,This light grey suit is a bit tight.,0
这件浅米色的西装有点紧。,This light beige suit is a bit tight.,1
这件深灰色的西装有点紧。,This dark grey suit is a bit tight.,0
这件杏色的西装有点紧。,This apricot suit is a bit tight.,1
这件银灰色的西装有点紧。,This silver grey suit is a bit tight.,0
这件奶油色的西装有点紧。,This cream suit is a bit tight.,1
这件烟灰色的西装有点紧。,This smoky grey suit is a bit tight.,0
这条米色的裤子很合身。,These beige pants fit well.,1
这条灰色的裤子很合身。,These grey pants fit well.,0
这条米黄色的裤子很合身。,These beige pants fit well.,1
这条浅灰色的裤子很合身。,These light grey pants fit well.,0
这条浅米色的裤子很合身。,These light beige pants fit well.,1
这条深灰色的裤子很合身。,These dark grey pants fit well.,0
这条杏色的裤子很合身。,These apricot pants fit well.,1
这条银灰色的裤子很合身。,These silver grey pants fit well.,0
这条奶油色的裤子很合身。,These cream pants fit well.,1
这条烟灰色的裤子很合身。,These smoky grey pants fit well.,0
她围着一条米色的围巾。,She is wearing a beige scarf.,1
她围着一条灰色的围巾。,She is wearing a grey scarf.,0
她围着一条米黄色的围巾。,She is wearing a beige scarf.,1
她围着一条浅灰色的围巾。,She is wearing a light grey scarf.,0
她围着一条浅米色的围巾。,She is wearing a light beige scarf.,1
她围着一条深灰色的围巾。,She is wearing a dark grey scarf.,0
她围着一条杏色的围巾。,She is wearing an apricot scarf.,1
她围着一条银灰色的围巾。,She is wearing a silver grey scarf.,0
她围着一条奶油色的围巾。,She is wearing a cream scarf.,1
她围着一条烟灰色的围巾。,She is wearing a smoky grey scarf.,0
地上有一只米色的袜子。,There is a beige sock on the ground.,1
地上有一只灰色的袜子。,There is a grey sock on the ground.,0
地上有一只米黄色的袜子。,There is a beige sock on the ground.,1
地上有一只浅灰色的袜子。,There is a light grey sock on the ground.,0
地上有一只浅米色的袜子。,There is a light beige sock on the ground.,1
地上有一只深灰色的袜子。,There is a dark grey sock on the ground.,0
地上有一只杏色的袜子。,There is an apricot sock on the ground.,1
地上有一只银灰色的袜子。,There is a silver grey sock on the ground.,0
地上有一只奶油色的袜子。,There is a cream sock on the ground.,1
地上有一只烟灰色的袜子。,There is a smoky grey sock on the ground.,0
他戴着一顶米色的帽子。,He is wearing a beige hat.,1
他戴着一顶灰色的帽子。,He is wearing a grey hat.,0
他戴着一顶米黄色的帽子。,He is wearing a beige hat.,1
他戴着一顶浅灰色的帽子。,He is wearing a light grey hat.,0
他戴着一顶浅米色的帽子。,He is wearing a light beige hat.,1
他戴着一顶深灰色的帽子。,He is wearing a dark grey hat.,0
他戴着一顶杏色的帽子。,He is wearing an apricot hat.,1
他戴着一顶银灰色的帽子。,He is wearing a silver grey hat.,0
他戴着一顶奶油色的帽子。,He is wearing a cream hat.,1
他戴着一顶烟灰色的帽子。,He is wearing a smoky grey hat.,0
这双米色的手套很舒服。,These beige gloves are comfortable.,1
这双灰色的手套很舒服。,These grey gloves are comfortable.,0
这双米黄色的手套很舒服。,These beige gloves are comfortable.,1
这双浅灰色的手套很舒服。,These light grey gloves are comfortable.,0
这双浅米色的手套很舒服。,These light beige gloves are comfortable.,1
这双深灰色的手套很舒服。,These dark grey gloves are comfortable.,0
这双杏色的手套很舒服。,These apricot gloves are comfortable.,1
这双银灰色的手套很舒服。,These silver grey gloves are comfortable.,0
这双奶油色的手套很舒服。,These cream gloves are comfortable.,1
这双烟灰色的手套很舒服。,These smoky grey gloves are comfortable.,0
那条米色的裙子很优雅。,That beige skirt is elegant.,1
那条灰色的裙子很优雅。,That grey skirt is elegant.,0
那条米黄色的裙子很优雅。,That beige skirt is elegant.,1
那条浅灰色的裙子很优雅。,That light grey skirt is elegant.,0
那条浅米色的裙子很优雅。,That light beige skirt is elegant.,1
那条深灰色的裙子很优雅。,That dark grey skirt is elegant.,0
那条杏色的裙子很优雅。,That apricot skirt is elegant.,1
那条银灰色的裙子很优雅。,That silver grey skirt is elegant.,0
那条奶油色的裙子很优雅。,That cream skirt is elegant.,1
那条烟灰色的裙子很优雅。,That smoky grey skirt is elegant.,0
这双米色的靴子是防水的。,These beige boots are waterproof.,1
这双灰色的靴子是防水的。,These grey boots are waterproof.,0
这双米黄色的靴子是防水的。,These beige boots are waterproof.,1
这双浅灰色的靴子是防水的。,These light grey boots are waterproof.,0
这双浅米色的靴子是防水的。,These light beige boots are waterproof.,1
这双深灰色的靴子是防水的。,These dark grey boots are waterproof.,0
这双杏色的靴子是防水的。,These apricot boots are waterproof.,1
这双银灰色的靴子是防水的。,These silver grey boots are waterproof.,0
这双奶油色的靴子是防水的。,These cream boots are waterproof.,1
这双烟灰色的靴子是防水的。,These smoky grey boots are waterproof.,0
她穿着一双米色的运动鞋。,She is wearing a pair of beige sneakers.,1
她穿着一双灰色的运动鞋。,She is wearing a pair of grey sneakers.,0
她穿着一双米黄色的运动鞋。,She is wearing a pair of beige sneakers.,1
她穿着一双浅灰色的运动鞋。,She is wearing a pair of light grey sneakers.,0
她穿着一双浅米色的运动鞋。,She is wearing a pair of light beige sneakers.,1
她穿着一双深灰色的运动鞋。,She is wearing a pair of dark grey sneakers.,0
她穿着一双杏色的运动鞋。,She is wearing a pair of apricot sneakers.,1
她穿着一双银灰色的运动鞋。,She is wearing a pair of silver grey sneakers.,0
她穿着一双奶油色的运动鞋。,She is wearing a pair of cream sneakers.,1
她穿着一双烟灰色的运动鞋。,She is wearing a pair of smoky grey sneakers.,0
他系着一条米色的领带。,He is wearing a beige tie.,1
他系着一条灰色的领带。,He is wearing a grey tie.,0
他系着一条米黄色的领带。,He is wearing a beige tie.,1
他系着一条浅灰色的领带。,He is wearing a light grey tie.,0
他系着一条浅米色的领带。,He is wearing a light beige tie.,1
他系着一条深灰色的领带。,He is wearing a dark grey tie.,0
他系着一条杏色的领带。,He is wearing an apricot tie.,1
他系着一条银灰色的领带。,He is wearing a silver grey tie.,0
他系着一条奶油色的领带。,He is wearing a cream tie.,1
他系着一条烟灰色的领带。,He is wearing a smoky grey tie.,0
这个米色的背包很实用。,This beige backpack is practical.,1
这个灰色的背包很实用。,This grey backpack is practical.,0
这个米黄色的背包很实用。,This beige backpack is practical.,1
这个浅灰色的背包很实用。,This light grey backpack is practical.,0
这个浅米色的背包很实用。,This light beige backpack is practical.,1
这个深灰色的背包很实用。,This dark grey backpack is practical.,0
这个杏色的背包很实用。,This apricot backpack is practical.,1
这个银灰色的背包很实用。,This silver grey backpack is practical.,0
这个奶油色的背包很实用。,This cream backpack is practical.,1
这个烟灰色的背包很实用。,This smoky grey backpack is practical.,0
客厅里放着一个米色的沙发。,There is a beige sofa in the living room.,1
客厅里放着一个灰色的沙发。,There is a grey sofa in the living room.,0
客厅里放着一个米黄色的沙发。,There is a beige sofa in the living room.,1
客厅里放着一个浅灰色的沙发。,There is a light grey sofa in the living room.,0
客厅里放着一个浅米色的沙发。,There is a light beige sofa in the living room.,1
客厅里放着一个深灰色的沙发。,There is a dark grey sofa in the living room.,0
客厅里放着一个杏色的沙发。,There is an apricot sofa in the living room.,1
客厅里放着一个银灰色的沙发。,There is a silver grey sofa in the living room.,0
客厅里放着一个奶油色的沙发。,There is a cream sofa in the living room.,1
客厅里放着一个烟灰色的沙发。,There is a smoky grey sofa in the living room.,0
窗户上挂着米色的窗帘。,There are beige curtains hanging on the window.,1
窗户上挂着灰色的窗帘。,There are grey curtains hanging on the window.,0
窗户上挂着米黄色的窗帘。,There are beige curtains hanging on the window.,1
窗户上挂着浅灰色的窗帘。,There are light grey curtains hanging on the window.,0
窗户上挂着浅米色的窗帘。,There are light beige curtains hanging on the window.,1
窗户上挂着深灰色的窗帘。,There are dark grey curtains hanging on the window.,0
窗户上挂着杏色的窗帘。,There are apricot curtains hanging on the window.,1
窗户上挂着银灰色的窗帘。,There are silver grey curtains hanging on the window.,0
窗户上挂着奶油色的窗帘。,There are cream curtains hanging on the window.,1
窗户上挂着烟灰色的窗帘。,There are smoky grey curtains hanging on the window.,0
地板上铺着米色的地毯。,There is a beige carpet on the floor.,1
地板上铺着灰色的地毯。,There is a grey carpet on the floor.,0
地板上铺着米黄色的地毯。,There is a beige carpet on the floor.,1
地板上铺着浅灰色的地毯。,There is a light grey carpet on the floor.,0
地板上铺着浅米色的地毯。,There is a light beige carpet on the floor.,1
地板上铺着深灰色的地毯。,There is a dark grey carpet on the floor.,0
地板上铺着杏色的地毯。,There is an apricot carpet on the floor.,1
地板上铺着银灰色的地毯。,There is a silver grey carpet on the floor.,0
地板上铺着奶油色的地毯。,There is a cream carpet on the floor.,1
地板上铺着烟灰色的地毯。,There is a smoky grey carpet on the floor.,0
床上铺着米色的床单。,The bed is covered with a beige bedsheet.,1
床上铺着灰色的床单。,The bed is covered with a grey bedsheet.,0
床上铺着米黄色的床单。,The bed is covered with a beige bedsheet.,1
床上铺着浅灰色的床单。,The bed is covered with a light grey bedsheet.,0
床上铺着浅米色的床单。,The bed is covered with a light beige bedsheet.,1
床上铺着深灰色的床单。,The bed is covered with a dark grey bedsheet.,0
床上铺着杏色的床单。,The bed is covered with an apricot bedsheet.,1
床上铺着银灰色的床单。,The bed is covered with a silver grey bedsheet.,0
床上铺着奶油色的床单。,The bed is covered with a cream bedsheet.,1
床上铺着烟灰色的床单。,The bed is covered with a smoky grey bedsheet.,0
这是一个米色的抱枕。,This is a beige pillow.,1
这是一个灰色的抱枕。,This is a grey pillow.,0
这是一个米黄色的抱枕。,This is a beige pillow.,1
这是一个浅灰色的抱枕。,This is a light grey pillow.,0
这是一个浅米色的抱枕。,This is a light beige pillow.,1
这是一个深灰色的抱枕。,This is a dark grey pillow.,0
这是一个杏色的抱枕。,This is an apricot pillow.,1
这是一个银灰色的抱枕。,This is a silver grey pillow.,0
这是一个奶油色的抱枕。,This is a cream pillow.,1
这是一个烟灰色的抱枕。,This is a smoky grey pillow.,0
桌上放着一个米色的杯子。,There is a beige mug on the table.,1
桌上放着一个灰色的杯子。,There is a grey mug on the table.,0
桌上放着一个米黄色的杯子。,There is a beige mug on the table.,1
桌上放着一个浅灰色的杯子。,There is a light grey mug on the table.,0
桌上放着一个浅米色的杯子。,There is a light beige mug on the table.,1
桌上放着一个深灰色的杯子。,There is a dark grey mug on the table.,0
桌上放着一个杏色的杯子。,There is an apricot mug on the table.,1
桌上放着一个银灰色的杯子。,There is a silver grey mug on the table.,0
桌上放着一个奶油色的杯子。,There is a cream mug on the table.,1
桌上放着一个烟灰色的杯子。,There is a smoky grey mug on the table.,0
墙上贴着一张米色的墙纸。,There is a beige wallpaper on the wall.,1
墙上贴着一张灰色的墙纸。,There is a grey wallpaper on the wall.,0
墙上贴着一张米黄色的墙纸。,There is a beige wallpaper on the wall.,1
墙上贴着一张浅灰色的墙纸。,There is a light grey wallpaper on the wall.,0
墙上贴着一张浅米色的墙纸。,There is a light beige wallpaper on the wall.,1
墙上贴着一张深灰色的墙纸。,There is a dark grey wallpaper on the wall.,0
墙上贴着一张杏色的墙纸。,There is an apricot wallpaper on the wall.,1
墙上贴着一张银灰色的墙纸。,There is a silver grey wallpaper on the wall.,0
墙上贴着一张奶油色的墙纸。,There is a cream wallpaper on the wall.,1
墙上贴着一张烟灰色的墙纸。,There is a smoky grey wallpaper on the wall.,0
这是一本米色的笔记本。,This is a beige notebook.,1
这是一本灰色的笔记本。,This is a grey notebook.,0
这是一本米黄色的笔记本。,This is a beige notebook.,1
这是一本浅灰色的笔记本。,This is a light grey notebook.,0
这是一本浅米色的笔记本。,This is a light beige notebook.,1
这是一本深灰色的笔记本。,This is a dark grey notebook.,0
这是一本杏色的笔记本。,This is an apricot notebook.,1
这是一本银灰色的笔记本。,This is a silver grey notebook.,0
这是一本奶油色的笔记本。,This is a cream notebook.,1
这是一本烟灰色的笔记本。,This is a smoky grey notebook.,0
他拿着一个米色的文件夹。,He is holding a beige folder.,1
他拿着一个灰色的文件夹。,He is holding a grey folder.,0
他拿着一个米黄色的文件夹。,He is holding a beige folder.,1
他拿着一个浅灰色的文件夹。,He is holding a light grey folder.,0
他拿着一个浅米色的文件夹。,He is holding a light beige folder.,1
他拿着一个深灰色的文件夹。,He is holding a dark grey folder.,0
他拿着一个杏色的文件夹。,He is holding an apricot folder.,1
他拿着一个银灰色的文件夹。,He is holding a silver grey folder.,0
他拿着一个奶油色的文件夹。,He is holding a cream folder.,1
他拿着一个烟灰色的文件夹。,He is holding a smoky grey folder.,0
盒子里有一支米色的笔。,There is a beige pen in the box.,1
盒子里有一支灰色的笔。,There is a grey pen in the box.,0
盒子里有一支米黄色的笔。,There is a beige pen in the box.,1
盒子里有一支浅灰色的笔。,There is a light grey pen in the box.,0
盒子里有一支浅米色的笔。,There is a light beige pen in the box.,1
盒子里有一支深灰色的笔。,There is a dark grey pen in the box.,0
盒子里有一支杏色的笔。,There is an apricot pen in the box.,1
盒子里有一支银灰色的笔。,There is a silver grey pen in the box.,0
盒子里有一支奶油色的笔。,There is a cream pen in the box.,1
盒子里有一支烟灰色的笔。,There is a smoky grey pen in the box.,0
那是一块米色的布料。,That is a piece of beige fabric.,1
那是一块灰色的布料。,That is a piece of grey fabric.,0
那是一块米黄色的布料。,That is a piece of beige fabric.,1
那是一块浅灰色的布料。,That is a piece of light grey fabric.,0
那是一块浅米色的布料。,That is a piece of light beige fabric.,1
那是一块深灰色的布料。,That is a piece of dark grey fabric.,0
那是一块杏色的布料。,That is a piece of apricot fabric.,1
那是一块银灰色的布料。,That is a piece of silver grey fabric.,0
那是一块奶油色的布料。,That is a piece of cream fabric.,1
那是一块烟灰色的布料。,That is a piece of smoky grey fabric.,0
墙面被刷成了米色。,The wall is painted beige.,1
墙面被刷成了灰色。,The wall is painted grey.,0
墙面被刷成了米黄色。,The wall is painted beige.,1
墙面被刷成了浅灰色。,The wall is painted light grey.,0
墙面被刷成了浅米色。,The wall is painted light beige.,1
墙面被刷成了深灰色。,The wall is painted dark grey.,0
墙面被刷成了杏色。,The wall is painted apricot.,1
墙面被刷成了银灰色。,The wall is painted silver grey.,0
墙面被刷成了奶油色。,The wall is painted cream.,1
墙面被刷成了烟灰色。,The wall is painted smoky grey.,0
这辆车的内饰是米色的。,The interior of the car is beige.,1
这辆车的内饰是灰色的。,The interior of the car is grey.,0
这辆车的内饰是米黄色的。,The interior of the car is beige.,1
这辆车的内饰是浅灰色的。,The interior of the car is light grey.,0
这辆车的内饰是浅米色的。,The interior of the car is light beige.,1
这辆车的内饰是深灰色的。,The interior of the car is dark grey.,0
这辆车的内饰是杏色的。,The interior of the car is apricot.,1
这辆车的内饰是银灰色的。,The interior of the car is silver grey.,0
这辆车的内饰是奶油色的。,The interior of the car is cream.,1
这辆车的内饰是烟灰色的。,The interior of the car is smoky grey.,0
这种米色的瓷砖很常见。,This beige tile is very common.,1
这种灰色的瓷砖很常见。,This grey tile is very common.,0
这种米黄色的瓷砖很常见。,This beige tile is very common.,1
这种浅灰色的瓷砖很常见。,This light grey tile is very common.,0
这种浅米色的瓷砖很常见。,This light beige tile is very common.,1
这种深灰色的瓷砖很常见。,This dark grey tile is very common.,0
这种杏色的瓷砖很常见。,This apricot tile is very common.,1
这种银灰色的瓷砖很常见。,This silver grey tile is very common.,0
这种奶油色的瓷砖很常见。,This cream tile is very common.,1
这种烟灰色的瓷砖很常见。,This smoky grey tile is very common.,0
地面是米色的。,The ground is beige.,1
地面是灰色的。,The ground is grey.,0
地面是米黄色的。,The ground is beige.,1
地面是浅灰色的。,The ground is light grey.,0
地面是浅米色的。,The ground is light beige.,1
地面是深灰色的。,The ground is dark grey.,0
地面是杏色的。,The ground is apricot.,1
地面是银灰色的。,The ground is silver grey.,0
地面是奶油色的。,The ground is cream.,1
地面是烟灰色的。,The ground is smoky grey.,0
天空呈现出米色。,The sky turned beige.,1
天空呈现出灰色。,The sky turned grey.,0
天空呈现出米黄色。,The sky turned beige.,1
天空呈现出浅灰色。,The sky turned light grey.,0
天空呈现出浅米色。,The sky turned light beige.,1
天空呈现出深灰色。,The sky turned dark grey.,0
天空呈现出杏色。,The sky turned apricot.,1
天空呈现出银灰色。,The sky turned silver grey.,0
天空呈现出奶油色。,The sky turned cream.,1
天空呈现出烟灰色。,The sky turned smoky grey.,0
这是一张米色的照片。,This is a beige photo.,1
这是一张灰色的照片。,This is a grey photo.,0
这是一张米黄色的照片。,This is a beige photo.,1
这是一张浅灰色的照片。,This is a light grey photo.,0
这是一张浅米色的照片。,This is a light beige photo.,1
这是一张深灰色的照片。,This is a dark grey photo.,0
这是一张杏色的照片。,This is an apricot photo.,1
这是一张银灰色的照片。,This is a silver grey photo.,0
这是一张奶油色的照片。,This is a cream photo.,1
这是一张烟灰色的照片。,This is a smoky grey photo.,0
包装纸是米色的。,The wrapping paper is beige.,1
包装纸是灰色的。,The wrapping paper is grey.,0
包装纸是米黄色的。,The wrapping paper is beige.,1
包装纸是浅灰色的。,The wrapping paper is light grey.,0
包装纸是浅米色的。,The wrapping paper is light beige.,1
包装纸是深灰色的。,The wrapping paper is dark grey.,0
包装纸是杏色的。,The wrapping paper is apricot.,1
包装纸是银灰色的。,The wrapping paper is silver grey.,0
包装纸是奶油色的。,The wrapping paper is cream.,1
包装纸是烟灰色的。,The wrapping paper is smoky grey.,0
背景是米色的。,The background is beige.,1
背景是灰色的。,The background is grey.,0
背景是米黄色的。,The background is beige.,1
背景是浅灰色的。,The background is light grey.,0
背景是浅米色的。,The background is light beige.,1
背景是深灰色的。,The background is dark grey.,0
背景是杏色的。,The background is apricot.,1
背景是银灰色的。,The background is silver grey.,0
背景是奶油色的。,The background is cream.,1
背景是烟灰色的。,The background is smoky grey.,0
这是一个米色的盒子。,This is a beige box.,1
这是一个灰色的盒子。,This is a grey box.,0
这是一个米黄色的盒子。,This is a beige box.,1
这是一个浅灰色的盒子。,This is a light grey box.,0
这是一个浅米色的盒子。,This is a light beige box.,1
这是一个深灰色的盒子。,This is a dark grey box.,0
这是一个杏色的盒子。,This is an apricot box.,1
这是一个银灰色的盒子。,This is a silver grey box.,0
这是一个奶油色的盒子。,This is a cream box.,1
这是一个烟灰色的盒子。,This is a smoky grey box.,0
